age,annual_income,credit_score,debt_to_income_ratio,loan_amount,employment_years,employment_type,education_level,marital_status,property_ownership,loan_approved
41,3973081.677287656,734.0,0.4755774097184664,4798367.779856303,10.0,Self-employed,Bachelor,Married,Rent,Rejected
44,3276813.2082265075,526.0,0.29941278024663276,10347933.448819263,2.0,Full-time,High School,Single,Mortgage,Rejected
21,8021181.6345068775,567.0,0.3232453170594717,16727661.945999533,26.0,Full-time,Master,Married,Mortgage,Rejected
28,5430137.340504533,415.0,0.26039301361102196,21548002.70236942,3.0,Full-time,Master,Single,Rent,Approved
28,2788040.7076666066,659.0,0.7527929211954386,30102934.74907161,9.0,Unemployed,High School,Married,Rent,Rejected
32,2246799.936922369,628.0,0.3657158571790471,43303910.121629976,6.0,Part-time,Bachelor,Married,Mortgage,Rejected
25,3278035.7893162756,339.0,0.7263570177140827,8799072.166344043,0.0,Part-time,PhD,Divorced,Rent,Rejected
49,3288853.2504847255,481.0,0.45606993010401276,1739313.4803240518,26.0,Full-time,Master,Married,Mortgage,Rejected
34,,789.0,0.5472460421002873,23012619.40801987,5.0,Self-employed,PhD,Single,Rent,Rejected
34,5971113.444377651,508.0,0.5432874757134873,22173041.973169778,7.0,Full-time,High School,Married,Rent,Rejected
69,5968973.699667902,572.0,0.9758520793435888,28043159.706263445,16.0,Part-time,High School,Single,Own,Rejected
26,3499776.0256904173,418.0,0.3670624557109512,41827866.797203526,23.0,Unemployed,High School,Single,Own,Rejected
30,6841261.42916703,681.0,0.20768409539759758,40315666.998141415,6.0,Full-time,Bachelor,Married,Rent,Approved
59,7455688.630272906,835.0,0.9117919403666022,5902120.937070549,0.0,Full-time,Master,Single,Rent,Approved
57,4480073.265961313,557.0,0.17483928931557324,46765772.96715701,8.0,Full-time,High School,Married,Rent,Approved
59,2935858.405755952,782.0,0.8344228458443447,6410305.33904779,10.0,Full-time,Bachelor,Divorced,Mortgage,Rejected
21,5200565.02908349,808.0,0.1502148954669258,32093954.91817757,18.0,Full-time,High School,Married,Rent,Approved
67,9320152.496126333,391.0,0.6587243342274063,33947908.38618321,1.0,Self-employed,Master,Single,Mortgage,Rejected
58,2883404.864248894,460.0,0.15054081326453606,34313996.87393132,22.0,Full-time,High School,Married,Own,Rejected
29,3947673.3940663403,448.0,0.9230858192394295,14002207.412094155,10.0,Part-time,High School,Married,Rent,Rejected
63,5114868.12059527,416.0,0.5650082826528312,17186909.496484604,2.0,Self-employed,Bachelor,Married,Own,Rejected
36,6083328.049031876,757.0,0.32927383914008757,27885166.88232045,16.0,Unemployed,High School,Married,Rent,Approved
26,1028840.0129588111,344.0,0.1403227749635949,10779787.29420482,9.0,Full-time,Bachelor,Married,Own,Rejected
59,7611775.3886003485,533.0,0.37119223614599395,1995212.9238342098,28.0,Full-time,Bachelor,Single,Rent,Approved
58,7584583.89736284,674.0,0.7050200348688117,28545078.270920206,2.0,Full-time,Master,Divorced,Rent,Rejected
23,4150412.7184185437,846.0,0.38495088392854715,23798650.02858836,21.0,Full-time,Bachelor,Divorced,Own,Rejected
54,10413236.586664526,496.0,0.24609413609544406,33179829.10494964,2.0,Part-time,Bachelor,Married,Rent,Approved
66,7455410.765851585,324.0,0.5774094482938172,8188328.215849336,20.0,Full-time,PhD,Single,Mortgage,Rejected
55,7348899.865976415,694.0,0.4178218528371196,42205319.83490272,24.0,Full-time,PhD,Married,Own,Rejected
50,7375106.379562024,335.0,0.16580623603029232,8164852.9345658375,6.0,Full-time,Bachelor,Married,Mortgage,Approved
44,7317432.11741608,773.0,0.1539879902774568,44675836.63912115,1.0,Part-time,Bachelor,Married,Rent,Rejected
60,4956181.023435441,522.0,0.7074619902218547,23026537.45718945,0.0,Full-time,Bachelor,Married,Rent,Rejected
32,4758080.009734293,829.0,0.9746718955162564,27940457.709262043,,Full-time,Bachelor,Single,Own,Approved
37,3112859.864559676,487.0,0.23309407086205636,44932485.46223544,19.0,Full-time,PhD,Single,Own,Rejected
40,3845256.459540624,701.0,0.77314860083149,15695739.375376284,10.0,Full-time,Master,Married,Mortgage,Rejected
67,4378204.635428961,556.0,0.0876067024504652,9909522.815816423,22.0,Part-time,High School,Married,Own,Approved
20,5130920.100379534,435.0,0.3815759190521817,22841829.420153227,5.0,Full-time,High School,Married,Own,Rejected
55,8196592.095007007,743.0,0.506688152808257,12973994.197857631,22.0,Self-employed,High School,Single,Rent,Approved
69,1000000.0,717.0,0.2687469452897683,26864351.665475536,3.0,Full-time,High School,Married,Rent,Approved
27,7689868.5521552265,591.0,0.5295784165142504,14487635.357771505,18.0,Full-time,High School,Single,Mortgage,Rejected
67,,428.0,0.8826144276638545,43359987.24417739,27.0,Full-time,Bachelor,Married,Rent,Approved
40,4790960.313112427,640.0,0.9444379623549934,30758905.02062857,20.0,Full-time,High School,Single,Rent,Rejected
62,3551204.287076797,556.0,0.10055695437304946,1011792.817402211,18.0,Part-time,Bachelor,Married,Rent,Approved
40,8708553.818931326,399.0,0.2718459339842023,40468212.99931141,13.0,Full-time,High School,Married,Own,Rejected
46,4000084.458068191,338.0,0.9791339175177249,17180404.49958115,2.0,Part-time,High School,Divorced,Rent,Rejected
38,6042895.853258423,562.0,0.2704184104022437,16690191.223592898,3.0,Full-time,Bachelor,Married,Rent,Rejected
42,6146533.35655247,449.0,0.6927073511434411,19770077.7945889,7.0,Unemployed,Master,Married,Rent,Rejected
69,2679986.499758881,629.0,0.25345369387036465,31882863.876119953,17.0,Part-time,Bachelor,Single,Mortgage,Rejected
62,4806459.295723119,419.0,0.35636559332103823,22660974.809316926,3.0,Part-time,Bachelor,Married,Rent,Rejected
54,7408652.5262141,518.0,0.19127898789689746,31803141.78191542,10.0,Full-time,Bachelor,Married,Own,Approved
59,3253530.3783140345,422.0,0.8563001936971452,8192255.360153826,15.0,Unemployed,High School,Single,Own,Rejected
61,6657931.218962536,543.0,0.882648763819504,48538058.7616802,2.0,Unemployed,Bachelor,Married,Rent,Rejected
67,4337840.057398144,817.0,0.29691250791543156,36750708.06710933,6.0,Full-time,High School,Married,Mortgage,Approved
24,,320.0,0.82358982417063,13260148.251740769,,Full-time,Bachelor,Single,Own,Rejected
